site,category_rank,tranco_rank,tld,tld_type,country,delv_result
360.cn,1,22,cn,ccTLD,CN,0
cloudflare.com,2,83,com,gTLD,US,1
mcafee.com,3,1209,com,gTLD,US,0
eset.com,4,994,com,gTLD,,0
odysee.com,5,9442,com,gTLD,US,1
virustotal.com,6,2474,com,gTLD,ES,0
avast.com,7,507,com,gTLD,CZ,0
kaspersky.com,8,895,com,gTLD,RU,0
katmoviehd.se,9,25925,se,ccTLD,SE,0
kafan.cn,10,3095,cn,ccTLD,CN,0
zwyr157wwiu6eior.com,11,17144,com,gTLD,,0
opendns.com,12,166,com,gTLD,US,0
anime-list9.site,13,71350,site,gTLD,DK,0
duosecurity.com,14,3846,com,gTLD,,0
mcas.ms,15,27239,ms,ccTLD,MS,0
avg.com,16,1215,com,gTLD,CZ,0
pingone.com,17,17966,com,gTLD,,0
bitdefender.com,18,2745,com,gTLD,,0
sophos.com,19,1568,com,gTLD,GB,0
avira.com,20,2930,com,gTLD,DE,0
proofpoint.com,21,801,com,gTLD,US,0
comss.ru,22,25237,ru,ccTLD,RU,1
uranium.cash,23,22166,cash,gTLD,,-2
kmcert.com,24,21533,com,gTLD,KR,0
mcafeemobilesecurity.com,25,43551,com,gTLD,US,0
fortinet.com,26,5575,com,gTLD,,0
torproject.org,27,2834,org,gTLD,US,1
paloaltonetworks.com,28,4301,com,gTLD,US,1
symantec.com,29,477,com,gTLD,US,0
zetflix.online,30,28554,online,gTLD,BS,0
f-secure.com,31,4176,com,gTLD,FI,0
knowbe4.com,32,8955,com,gTLD,US,0
itglue.com,33,45179,com,gTLD,,0
pandasecurity.com,34,4655,com,gTLD,,0
totalav.com,35,21827,com,gTLD,US,0
load2win.com,36,477051,com,gTLD,US,0
shodan.io,37,14837,io,ccTLD,FR,1
safetydetectives.com,38,22925,com,gTLD,,0
checkpoint.com,39,4383,com,gTLD,IL,1
pingidentity.com,40,10880,com,gTLD,,0
kaspersky.ru,41,13952,ru,ccTLD,RU,0
crowdstrike.com,42,13475,com,gTLD,US,0
theregister.com,43,1457,com,gTLD,GB,0
barracudanetworks.com,44,20511,com,gTLD,US,0
huorong.cn,45,19992,cn,ccTLD,CN,0
kali.org,46,8868,org,gTLD,GI,0
pimeyes.com,47,184363,com,gTLD,,0
avis-verifies.com,48,31983,com,gTLD,FR,0
esetnod32.ru,49,25467,ru,ccTLD,RU,0
fraunhofer.de,50,2851,de,ccTLD,DE,1
